title,rate,id
真心半解,8.0,33420285
利刃出鞘,8.2,30318116
我仍然相信,6.5,34802738
薄暮,6.7,26984196
列夫·朗道：诺拉与母亲,6.9,34977893
惊天营救,7.1,30314127
双鱼陨石,6.8,35055448
黑帮大佬和我的365日,5.7,34968329
天气之子,7.1,30402296
误杀,7.7,30176393
燃烧女子的肖像,8.6,30257175
黑暗正义联盟：天启星战争,7.3,34777818
给我翅膀,8.6,30410114
黑水,8.5,30331959
绅士们,8.3,30211998
阳光普照,8.4,30292777
少年的你,8.3,30166972
火口的两人,7.0,30405087
列夫·朗道：娜塔莎,6.4,34960201
标准之外,8.3,30310218
爆炸新闻,7.1,30289194
从不，很少，有时，总是,7.6,33411505
理查德·朱维尔的哀歌,8.2,25842038
多哥,8.8,30271841
南方车站的聚会,7.4,27668250
1/2的魔法,7.9,30401849
冰雪奇缘2,7.2,25887288
春潮,7.3,27186348
极速车王,8.6,6538866
朱迪,7.5,27179039
温蒂妮,7.5,34603816
纽约的一个雨天,7.5,27089612
起跑线2,6.6,34967867
饥饿站台,7.8,34805219
人间失格：太宰治和三个女人们,6.1,30364976
乔乔的异想世界,8.4,30170546
再见，妈妈,8.1,34608294
逃离比勒陀利亚,7.6,27046758
坏教育,7.1,30182877
野性的呼唤,7.1,27199324
美好年代,8.1,30371818
狩猎,7.3,30182726
我和我的祖国,7.8,32659890
终结者：黑暗命运,6.9,27109633
平原上的夏洛克,7.9,33400376
卡拉什尼科夫,7.1,34947678
热带雨,7.7,30371819
7号房的礼物(土耳其版),8.2,34875369
玩具总动员4,8.6,6850547
助理,7.0,30402843
我在雨中等你,8.2,3882427
你好世界,7.3,30401194
隐形人,7.3,2364086
异界,6.2,30264504
夺命公寓,6.1,34457952
狩猎的时间,6.1,27621498
猛禽小队和哈莉·奎茵,5.7,30160393
唐顿庄园,8.1,27002635
克劳斯：圣诞节的秘密,8.7,26858510
小羊肖恩2：末日农场,7.8,26628382
威洛比家的孩子们,6.4,27062059
小委托人,8.1,33404726
好莱坞往事,7.3,27087724
决战中途岛,7.7,26786669
南山的部长们,8.1,30241298
爱玛,7.1,30361878
花椒之味,7.1,26935296
教宗的承继,8.6,27132510
